group,variable,value
3-Dec,Ecuador,0.21
3-Dec,Peru,0.2
3-Dec,Paraguay,0.1
3-Dec,Uruguay,0.15
10-Dec,Argentina,0.17
10-Dec,Bolivia,0.07
10-Dec,Brazil,0.12
10-Dec,Chile,0.18
10-Dec,Colombia,0.24
10-Dec,Ecuador,0.21
10-Dec,Peru,0.2
10-Dec,Paraguay,0.11
10-Dec,Uruguay,0.18
17-Dec,Argentina,0.15
17-Dec,Bolivia,0.07
17-Dec,Brazil,0.11
17-Dec,Chile,0.18
17-Dec,Colombia,0.28
17-Dec,Ecuador,0.21
17-Dec,Peru,0.23
17-Dec,Paraguay,0.11
17-Dec,Uruguay,0.14
24-Dec,Argentina,0.18
24-Dec,Bolivia,0.07
24-Dec,Brazil,0.12
24-Dec,Chile,0.18
24-Dec,Colombia,0.36
24-Dec,Ecuador,0.2
24-Dec,Peru,0.2
24-Dec,Paraguay,0.1
24-Dec,Uruguay,0.18
31-Dec,Argentina,0.2
31-Dec,Bolivia,0.14
31-Dec,Brazil,0.12
31-Dec,Chile,0.24
31-Dec,Colombia,0.38
31-Dec,Ecuador,0.24
31-Dec,Peru,0.24
31-Dec,Paraguay,0.13
31-Dec,Uruguay,0.19
7-Jan,Argentina,0.17
7-Jan,Bolivia,0.07
7-Jan,Brazil,0.1
7-Jan,Chile,0.2
7-Jan,Colombia,0.28
7-Jan,Ecuador,0.21
7-Jan,Peru,0.23
7-Jan,Paraguay,0.13
7-Jan,Uruguay,0.17
