group,variable,value
19-Mar,Ireland,0.48
19-Mar,Iceland,0.19
19-Mar,Italy,0.51
19-Mar,Netherlands,0.36
19-Mar,Norway,0.44
19-Mar,Poland,0.51
19-Mar,Portugal,0.49
19-Mar,Sweden,0.41
19-Mar,Turkey,0.57
26-Mar,Austria,0.47
26-Mar,Belgium,0.42
26-Mar,Switzerland,0.48
26-Mar,Germany,0.43
26-Mar,Denmark,0.41
26-Mar,Spain,0.52
26-Mar,Finland,0.39
26-Mar,France,0.46
26-Mar,United Kingdom,0.47
26-Mar,Greece,0.19
26-Mar,Hungary,0.45
26-Mar,Ireland,0.46
26-Mar,Iceland,0.21
26-Mar,Italy,0.49
26-Mar,Netherlands,0.38
26-Mar,Norway,0.45
26-Mar,Poland,0.52
26-Mar,Portugal,0.5
26-Mar,Sweden,0.45
26-Mar,Turkey,0.57
2-Apr,Austria,0.46
2-Apr,Belgium,0.37
2-Apr,Switzerland,0.47
2-Apr,Germany,0.45
2-Apr,Denmark,0.41
2-Apr,Spain,0.53
2-Apr,Finland,0.36
2-Apr,France,0.43
2-Apr,United Kingdom,0.44
2-Apr,Greece,0.2
2-Apr,Hungary,0.44
2-Apr,Ireland,0.44
2-Apr,Iceland,0.24
2-Apr,Italy,0.49
2-Apr,Netherlands,0.34
2-Apr,Norway,0.45
2-Apr,Poland,0.53
2-Apr,Portugal,0.52
2-Apr,Sweden,0.42
2-Apr,Turkey,0.54
9-Apr,Austria,0.46
9-Apr,Belgium,0.4
9-Apr,Switzerland,0.44
9-Apr,Germany,0.43
9-Apr,Denmark,0.4
9-Apr,Spain,0.51
9-Apr,Finland,0.35
9-Apr,France,0.44
9-Apr,United Kingdom,0.41
9-Apr,Greece,0.18
9-Apr,Hungary,0.43
9-Apr,Ireland,0.42
9-Apr,Iceland,0.24
9-Apr,Italy,0.44
9-Apr,Netherlands,0.36
9-Apr,Norway,0.46
9-Apr,Poland,0.49
9-Apr,Portugal,0.51
9-Apr,Sweden,0.41
9-Apr,Turkey,0.54
16-Apr,Austria,0.41
16-Apr,Belgium,0.39
16-Apr,Switzerland,0.44
16-Apr,Germany,0.38
16-Apr,Denmark,0.38
16-Apr,Spain,0.49
16-Apr,Finland,0.31
16-Apr,France,0.37
16-Apr,United Kingdom,0.41
16-Apr,Greece,0.12
16-Apr,Hungary,0.33
16-Apr,Ireland,0.41
16-Apr,Iceland,0.21
16-Apr,Italy,0.4
16-Apr,Netherlands,0.31
16-Apr,Norway,0.44
16-Apr,Poland,0.48
16-Apr,Portugal,0.46
16-Apr,Sweden,0.38
16-Apr,Turkey,0.48
23-Apr,Austria,0.4
23-Apr,Belgium,0.38
23-Apr,Switzerland,0.42
23-Apr,Germany,0.36
23-Apr,Denmark,0.36
23-Apr,Spain,0.45
23-Apr,Finland,0.28
23-Apr,France,0.35
23-Apr,United Kingdom,0.38
23-Apr,Greece,0.11
23-Apr,Hungary,0.38
23-Apr,Ireland,0.4
23-Apr,Iceland,0.2
23-Apr,Italy,0.41
23-Apr,Netherlands,0.3
23-Apr,Norway,0.36
23-Apr,Poland,0.47
23-Apr,Portugal,0.47
23-Apr,Sweden,0.4
23-Apr,Turkey,0.47
30-Apr,Austria,0.39
30-Apr,Belgium,0.34
30-Apr,Switzerland,0.36
30-Apr,Germany,0.36
30-Apr,Denmark,0.36
30-Apr,Spain,0.45
30-Apr,Finland,0.27
30-Apr,France,0.32
30-Apr,United Kingdom,0.37
30-Apr,Greece,0.13
30-Apr,Hungary,0.36
30-Apr,Ireland,0.38
30-Apr,Iceland,0.18
30-Apr,Italy,0.4
30-Apr,Netherlands,0.29
30-Apr,Norway,0.34
30-Apr,Poland,0.46
30-Apr,Portugal,0.43
30-Apr,Sweden,0.41
30-Apr,Turkey,0.46
7-May,Austria,0.38
7-May,Belgium,0.34
7-May,Switzerland,0.38
7-May,Germany,0.34
7-May,Denmark,0.33
7-May,Spain,0.4
7-May,Finland,0.26
7-May,France,0.3
7-May,United Kingdom,0.36
7-May,Greece,0.12
7-May,Hungary,0.33
7-May,Ireland,0.39
7-May,Iceland,0.17
7-May,Italy,0.35
7-May,Netherlands,0.29
7-May,Norway,0.34
7-May,Poland,0.44
7-May,Portugal,0.41
7-May,Sweden,0.38
7-May,Turkey,0.45
14-May,Austria,0.31
14-May,Belgium,0.29
14-May,Switzerland,0.33
14-May,Germany,0.3
14-May,Denmark,0.32
14-May,Spain,0.36
14-May,Finland,0.21
14-May,France,0.28
14-May,United Kingdom,0.3
14-May,Greece,0.08
14-May,Hungary,0.28
14-May,Ireland,0.34
14-May,Iceland,0.1
14-May,Italy,0.31
14-May,Netherlands,0.25
14-May,Norway,0.3
14-May,Poland,0.39
14-May,Portugal,0.33
14-May,Sweden,0.29
14-May,Turkey,0.43
21-May,Austria,0.32
21-May,Belgium,0.27
21-May,Switzerland,0.3
21-May,Germany,0.28
21-May,Denmark,0.34
21-May,Spain,0.38
21-May,Finland,0.17
21-May,France,0.22
21-May,United Kingdom,0.31
21-May,Greece,0.09
21-May,Hungary,0.28
21-May,Ireland,0.34
21-May,Iceland,0.14
21-May,Italy,0.31
21-May,Netherlands,0.25
21-May,Norway,0.31
21-May,Poland,0.39
21-May,Portugal,0.34
21-May,Sweden,0.28
21-May,Turkey,0.42
28-May,Austria,0.26
28-May,Belgium,0.23
28-May,Switzerland,0.27
28-May,Germany,0.23
28-May,Denmark,0.34
28-May,Spain,0.36
28-May,Finland,0.17
28-May,France,0.26
28-May,United Kingdom,0.34
28-May,Greece,0.06
28-May,Hungary,0.27
28-May,Ireland,0.33
28-May,Iceland,0.15
28-May,Italy,0.31
28-May,Netherlands,0.23
28-May,Norway,0.3
28-May,Poland,0.35
28-May,Portugal,0.37
28-May,Sweden,0.3
28-May,Turkey,0.38
4-Jun,Austria,0.3
4-Jun,Belgium,0.27
4-Jun,Switzerland,0.28
4-Jun,Germany,0.23
4-Jun,Denmark,0.32
4-Jun,Spain,0.35
4-Jun,Finland,0.14
4-Jun,France,0.26
4-Jun,United Kingdom,0.32
4-Jun,Greece,0.04
4-Jun,Hungary,0.29
4-Jun,Ireland,0.36
4-Jun,Iceland,0.16
4-Jun,Italy,0.23
4-Jun,Netherlands,0.23
4-Jun,Norway,0.29
4-Jun,Poland,0.34
4-Jun,Portugal,0.35
4-Jun,Sweden,0.33
4-Jun,Turkey,0.36
11-Jun,Austria,0.18
11-Jun,Belgium,0.23
11-Jun,Switzerland,0.2
11-Jun,Germany,0.15
11-Jun,Denmark,0.3
11-Jun,Spain,0.34
11-Jun,Finland,0.15
11-Jun,France,0.25
11-Jun,United Kingdom,0.32
11-Jun,Greece,0.06
11-Jun,Hungary,0.25
11-Jun,Ireland,0.32
11-Jun,Iceland,0.15
11-Jun,Italy,0.21
11-Jun,Netherlands,0.21
11-Jun,Norway,0.28
11-Jun,Poland,0.34
11-Jun,Portugal,0.37
11-Jun,Sweden,0.33
11-Jun,Turkey,0.34
18-Jun,Austria,0.19
18-Jun,Belgium,0.21
18-Jun,Switzerland,0.23
18-Jun,Germany,0.15
18-Jun,Denmark,0.28
18-Jun,Spain,0.33
18-Jun,Finland,0.17
18-Jun,France,0.23
18-Jun,United Kingdom,0.31
18-Jun,Greece,0.04
18-Jun,Hungary,0.26
18-Jun,Ireland,0.34
18-Jun,Iceland,0.12
18-Jun,Italy,0.21
18-Jun,Netherlands,0.19
18-Jun,Norway,0.26
18-Jun,Poland,0.29
18-Jun,Portugal,0.34
18-Jun,Sweden,0.3
18-Jun,Turkey,0.34
25-Jun,Austria,0.21
25-Jun,Belgium,0.18
25-Jun,Switzerland,0.24
25-Jun,Germany,0.18
25-Jun,Denmark,0.29
25-Jun,Spain,0.29
25-Jun,Finland,0.16
25-Jun,France,0.21
25-Jun,United Kingdom,0.28
25-Jun,Greece,0.03
25-Jun,Hungary,0.22
25-Jun,Ireland,0.32
25-Jun,Iceland,0.13
25-Jun,Italy,0.16
25-Jun,Netherlands,0.18
25-Jun,Norway,0.27
25-Jun,Poland,0.26
25-Jun,Portugal,0.34
25-Jun,Sweden,0.27
25-Jun,Turkey,0.32
2-Jul,Austria,0.23
2-Jul,Belgium,0.22
2-Jul,Switzerland,0.24
2-Jul,Germany,0.2
2-Jul,Denmark,0.28
2-Jul,Spain,0.28
2-Jul,Finland,0.15
2-Jul,France,0.17
2-Jul,United Kingdom,0.31
2-Jul,Greece,0.02
2-Jul,Hungary,0.22
2-Jul,Ireland,0.33
2-Jul,Iceland,0.11
2-Jul,Italy,0.13
2-Jul,Netherlands,0.17
2-Jul,Norway,0.25
2-Jul,Poland,0.26
2-Jul,Portugal,0.36
2-Jul,Sweden,0.29
2-Jul,Turkey,0.28
9-Jul,Austria,0.22
9-Jul,Belgium,0.21
9-Jul,Switzerland,0.26
9-Jul,Germany,0.15
9-Jul,Denmark,0.29
9-Jul,Spain,0.27
9-Jul,Finland,0.15
9-Jul,France,0.18
9-Jul,United Kingdom,0.31
9-Jul,Greece,0
9-Jul,Hungary,0.21
9-Jul,Ireland,0.29
9-Jul,Iceland,0.13
9-Jul,Italy,0.16
9-Jul,Netherlands,0.15
9-Jul,Norway,0.25
9-Jul,Poland,0.29
9-Jul,Portugal,0.29
9-Jul,Sweden,0.3
9-Jul,Turkey,0.28
16-Jul,Austria,0.22
16-Jul,Belgium,0.22
16-Jul,Switzerland,0.23
16-Jul,Germany,0.17
16-Jul,Denmark,0.28
16-Jul,Spain,0.26
16-Jul,Finland,0.15
16-Jul,France,0.2
16-Jul,United Kingdom,0.31
16-Jul,Greece,0
16-Jul,Hungary,0.19
16-Jul,Ireland,0.29
16-Jul,Iceland,0.09
16-Jul,Italy,0.15
16-Jul,Netherlands,0.14
16-Jul,Norway,0.26
16-Jul,Poland,0.28
16-Jul,Portugal,0.3
16-Jul,Sweden,0.29
16-Jul,Turkey,0.29
23-Jul,Austria,0.15
23-Jul,Belgium,0.2
23-Jul,Switzerland,0.19
23-Jul,Germany,0.1
23-Jul,Denmark,0.28
23-Jul,Spain,0.24
23-Jul,Finland,0.13
23-Jul,France,0.2
23-Jul,United Kingdom,0.24
23-Jul,Greece,0.01
23-Jul,Hungary,0.13
23-Jul,Ireland,0.25
23-Jul,Iceland,0.08
23-Jul,Italy,0.13
23-Jul,Netherlands,0.14
23-Jul,Norway,0.21
23-Jul,Poland,0.19
23-Jul,Portugal,0.25
23-Jul,Sweden,0.26
23-Jul,Turkey,0.28
30-Jul,Austria,0.17
30-Jul,Belgium,0.21
30-Jul,Switzerland,0.21
30-Jul,Germany,0.14
30-Jul,Denmark,0.28
30-Jul,Spain,0.23
30-Jul,Finland,0.14
30-Jul,France,0.22
30-Jul,United Kingdom,0.27
30-Jul,Greece,0
30-Jul,Hungary,0.18
30-Jul,Ireland,0.27
30-Jul,Iceland,0.04
30-Jul,Italy,0.15
30-Jul,Netherlands,0.15
30-Jul,Norway,0.25
30-Jul,Poland,0.24
30-Jul,Portugal,0.27
30-Jul,Sweden,0.28
30-Jul,Turkey,0.3
6-Aug,Austria,0.17
6-Aug,Belgium,0.21
6-Aug,Switzerland,0.21
6-Aug,Germany,0.14
6-Aug,Denmark,0.26
6-Aug,Spain,0.2
6-Aug,Finland,0.15
6-Aug,France,0.22
6-Aug,United Kingdom,0.28
6-Aug,Greece,0
6-Aug,Hungary,0.14
6-Aug,Ireland,0.3
6-Aug,Iceland,0.02
6-Aug,Italy,0.15
6-Aug,Netherlands,0.14
6-Aug,Norway,0.24
6-Aug,Poland,0.2
6-Aug,Portugal,0.27
6-Aug,Sweden,0.29
6-Aug,Turkey,0.3
13-Aug,Austria,0.17
13-Aug,Belgium,0.2
13-Aug,Switzerland,0.18
13-Aug,Germany,0.13
13-Aug,Denmark,0.23
13-Aug,Spain,0.2
13-Aug,Finland,0.14
13-Aug,France,0.2
13-Aug,United Kingdom,0.26
13-Aug,Greece,0
13-Aug,Hungary,0.17
13-Aug,Ireland,0.28
13-Aug,Iceland,0.03
13-Aug,Italy,0.15
13-Aug,Netherlands,0.16
13-Aug,Norway,0.21
13-Aug,Poland,0.23
13-Aug,Portugal,0.26
13-Aug,Sweden,0.23
13-Aug,Turkey,0.3
20-Aug,Austria,0.17
20-Aug,Belgium,0.2
20-Aug,Switzerland,0.17
20-Aug,Germany,0.12
20-Aug,Denmark,0.24
20-Aug,Spain,0.17
20-Aug,Finland,0.14
20-Aug,France,0.21
20-Aug,United Kingdom,0.27
20-Aug,Greece,0.02
20-Aug,Hungary,0.14
20-Aug,Ireland,0.24
20-Aug,Iceland,0.03
20-Aug,Italy,0.15
20-Aug,Netherlands,0.15
20-Aug,Norway,0.21
20-Aug,Poland,0.21
20-Aug,Portugal,0.23
20-Aug,Sweden,0.25
20-Aug,Turkey,0.3
27-Aug,Austria,0.13
27-Aug,Belgium,0.18
27-Aug,Switzerland,0.14
27-Aug,Germany,0.11
27-Aug,Denmark,0.23
27-Aug,Spain,0.16
27-Aug,Finland,0.1
27-Aug,France,0.18
27-Aug,United Kingdom,0.24
27-Aug,Greece,0
27-Aug,Hungary,0.14
27-Aug,Ireland,0.21
27-Aug,Iceland,0.01
27-Aug,Italy,0.13
27-Aug,Netherlands,0.1
27-Aug,Norway,0.18
27-Aug,Poland,0.21
27-Aug,Portugal,0.2
27-Aug,Sweden,0.23
27-Aug,Turkey,0.28
3-Sep,Austria,0.13
3-Sep,Belgium,0.17
3-Sep,Switzerland,0.17
3-Sep,Germany,0.08
3-Sep,Denmark,0.21
3-Sep,Spain,0.14
3-Sep,Finland,0.09
3-Sep,France,0.17
3-Sep,United Kingdom,0.23
3-Sep,Greece,0.01
3-Sep,Hungary,0.11
3-Sep,Ireland,0.21
3-Sep,Iceland,0.01
3-Sep,Italy,0.1
3-Sep,Netherlands,0.11
3-Sep,Norway,0.19
3-Sep,Poland,0.18
3-Sep,Portugal,0.21
3-Sep,Sweden,0.23
3-Sep,Turkey,0.28
10-Sep,Austria,0.1
10-Sep,Belgium,0.15
10-Sep,Switzerland,0.14
10-Sep,Germany,0.07
10-Sep,Denmark,0.2
10-Sep,Spain,0.15
10-Sep,Finland,0.07
10-Sep,France,0.14
10-Sep,United Kingdom,0.21
10-Sep,Greece,0.01
10-Sep,Hungary,0.14
10-Sep,Ireland,0.21
10-Sep,Iceland,0.02
10-Sep,Italy,0.11
10-Sep,Netherlands,0.11
10-Sep,Norway,0.19
10-Sep,Poland,0.19
10-Sep,Portugal,0.2
10-Sep,Sweden,0.23
10-Sep,Turkey,0.27
17-Sep,Austria,0.1
17-Sep,Belgium,0.15
17-Sep,Switzerland,0.17
17-Sep,Germany,0.1
17-Sep,Denmark,0.18
17-Sep,Spain,0.13
17-Sep,Finland,0.04
17-Sep,France,0.09
17-Sep,United Kingdom,0.2
17-Sep,Greece,0
17-Sep,Hungary,0.1
17-Sep,Ireland,0.23
17-Sep,Iceland,0.01
17-Sep,Italy,0.11
17-Sep,Netherlands,0.11
17-Sep,Norway,0.19
17-Sep,Poland,0.17
17-Sep,Portugal,0.2
17-Sep,Sweden,0.23
17-Sep,Turkey,0.26
24-Sep,Austria,0.1
24-Sep,Belgium,0.13
24-Sep,Switzerland,0.12
24-Sep,Germany,0.07
24-Sep,Denmark,0.17
24-Sep,Spain,0.12
24-Sep,Finland,0.05
24-Sep,France,0.09
24-Sep,United Kingdom,0.19
24-Sep,Greece,0
24-Sep,Hungary,0.11
24-Sep,Ireland,0.2
24-Sep,Iceland,0.01
24-Sep,Italy,0.11
24-Sep,Netherlands,0.11
24-Sep,Norway,0.18
24-Sep,Poland,0.17
24-Sep,Portugal,0.18
24-Sep,Sweden,0.22
24-Sep,Turkey,0.24
1-Oct,Austria,0.09
1-Oct,Belgium,0.1
1-Oct,Switzerland,0.07
1-Oct,Germany,0.06
1-Oct,Denmark,0.17
1-Oct,Spain,0.1
1-Oct,Finland,0.05
1-Oct,France,0.06
1-Oct,United Kingdom,0.19
1-Oct,Greece,0
1-Oct,Hungary,0.06
1-Oct,Ireland,0.2
1-Oct,Iceland,0.01
1-Oct,Italy,0.12
1-Oct,Netherlands,0.1
1-Oct,Norway,0.16
1-Oct,Poland,0.18
1-Oct,Portugal,0.14
1-Oct,Sweden,0.21
1-Oct,Turkey,0.23
8-Oct,Austria,0.08
8-Oct,Belgium,0.12
8-Oct,Switzerland,0.11
8-Oct,Germany,0.06
8-Oct,Denmark,0.15
8-Oct,Spain,0.11
8-Oct,Finland,0.04
8-Oct,France,0.07
8-Oct,United Kingdom,0.17
8-Oct,Greece,0
8-Oct,Hungary,0.07
8-Oct,Ireland,0.19
8-Oct,Iceland,0.01
8-Oct,Italy,0.11
8-Oct,Netherlands,0.1
8-Oct,Norway,0.15
8-Oct,Poland,0.17
8-Oct,Portugal,0.14
8-Oct,Sweden,0.2
8-Oct,Turkey,0.24
15-Oct,Austria,0.08
15-Oct,Belgium,0.12
15-Oct,Switzerland,0.11
15-Oct,Germany,0.06
15-Oct,Denmark,0.15
15-Oct,Spain,0.11
15-Oct,Finland,0.04
15-Oct,France,0.09
15-Oct,United Kingdom,0.18
15-Oct,Greece,0
15-Oct,Hungary,0.08
15-Oct,Ireland,0.2
15-Oct,Iceland,0.01
15-Oct,Italy,0.12
15-Oct,Netherlands,0.09
15-Oct,Norway,0.14
15-Oct,Poland,0.17
15-Oct,Portugal,0.14
15-Oct,Sweden,0.22
15-Oct,Turkey,0.23
22-Oct,Austria,0.1
22-Oct,Belgium,0.13
22-Oct,Switzerland,0.1
22-Oct,Germany,0.06
22-Oct,Denmark,0.14
22-Oct,Spain,0.1
22-Oct,Finland,0.02
22-Oct,France,0.07
22-Oct,United Kingdom,0.19
22-Oct,Greece,0
22-Oct,Hungary,0.1
22-Oct,Ireland,0.17
22-Oct,Iceland,0.01
22-Oct,Italy,0.1
22-Oct,Netherlands,0.09
22-Oct,Norway,0.14
22-Oct,Poland,0.14
22-Oct,Portugal,0.13
22-Oct,Sweden,0.19
22-Oct,Turkey,0.21
29-Oct,Austria,0.09
29-Oct,Belgium,0.1
29-Oct,Switzerland,0.09
29-Oct,Germany,0.07
29-Oct,Denmark,0.15
29-Oct,Spain,0.1
29-Oct,Finland,0.03
29-Oct,France,0.07
29-Oct,United Kingdom,0.19
29-Oct,Greece,0
29-Oct,Hungary,0.09
29-Oct,Ireland,0.18
29-Oct,Iceland,0.01
29-Oct,Italy,0.11
29-Oct,Netherlands,0.1
29-Oct,Norway,0.12
29-Oct,Poland,0.2
29-Oct,Portugal,0.11
29-Oct,Sweden,0.18
29-Oct,Turkey,0.21
5-Nov,Austria,0.09
5-Nov,Belgium,0.12
5-Nov,Switzerland,0.09
5-Nov,Germany,0.07
5-Nov,Denmark,0.12
5-Nov,Spain,0.1
5-Nov,Finland,0.03
5-Nov,France,0.07
5-Nov,United Kingdom,0.17
5-Nov,Greece,0
5-Nov,Hungary,0.07
5-Nov,Ireland,0.15
5-Nov,Iceland,0.01
5-Nov,Italy,0.1
5-Nov,Netherlands,0.08
5-Nov,Norway,0.13
5-Nov,Poland,0.17
5-Nov,Portugal,0.11
5-Nov,Sweden,0.14
5-Nov,Turkey,0.19
12-Nov,Austria,0.09
12-Nov,Belgium,0.14
12-Nov,Switzerland,0.11
12-Nov,Germany,0.07
12-Nov,Denmark,0.11
12-Nov,Spain,0.08
12-Nov,Finland,0.04
12-Nov,France,0.05
12-Nov,United Kingdom,0.16
12-Nov,Greece,0.01
12-Nov,Hungary,0.06
12-Nov,Ireland,0.16
12-Nov,Iceland,0.02
12-Nov,Italy,0.1
12-Nov,Netherlands,0.1
12-Nov,Norway,0.14
12-Nov,Poland,0.19
12-Nov,Portugal,0.13
12-Nov,Sweden,0.14
12-Nov,Turkey,0.2
19-Nov,Austria,0.08
19-Nov,Belgium,0.11
19-Nov,Switzerland,0.08
19-Nov,Germany,0.06
19-Nov,Denmark,0.09
19-Nov,Spain,0.08
19-Nov,Finland,0.04
19-Nov,France,0.05
19-Nov,United Kingdom,0.15
19-Nov,Greece,0.01
19-Nov,Hungary,0.07
19-Nov,Ireland,0.16
19-Nov,Iceland,0.01
19-Nov,Italy,0.07
19-Nov,Netherlands,0.07
19-Nov,Norway,0.15
19-Nov,Poland,0.17
19-Nov,Portugal,0.13
19-Nov,Sweden,0.09
19-Nov,Turkey,0.2
26-Nov,Austria,0.07
26-Nov,Belgium,0.1
26-Nov,Switzerland,0.07
26-Nov,Germany,0.06
26-Nov,Denmark,0.04
26-Nov,Spain,0.09
26-Nov,Finland,0.06
26-Nov,France,0.05
26-Nov,United Kingdom,0.12
26-Nov,Greece,0.01
26-Nov,Hungary,0.06
26-Nov,Ireland,0.15
26-Nov,Iceland,0.01
26-Nov,Italy,0.07
26-Nov,Netherlands,0.08
26-Nov,Norway,0.13
26-Nov,Poland,0.14
26-Nov,Portugal,0.13
26-Nov,Sweden,0.09
26-Nov,Turkey,0.19
3-Dec,Austria,0.02
3-Dec,Belgium,0.06
3-Dec,Switzerland,0.05
3-Dec,Germany,0.01
3-Dec,Denmark,0.01
3-Dec,Spain,0.08
3-Dec,Finland,0.02
3-Dec,France,0.03
3-Dec,United Kingdom,0.05
3-Dec,Greece,0.01
